"area","year","date","stand_number","plot","surveyer","nearest_tract","productivity","north","east","pct","half_height","pine_undamaged","pine_stems","pine_winter_damage_stems","proportion_pine_damage_winter","spruce_undamaged","spruce_stems","spruce_damaged","downy_total","downy_height","downy_damage","silver_total","silver_height","silver_damage","rowan_total","rowan_height","rowan_damage","aspen_total","aspen_height","aspen_damage","salix_total","salix_height","salix_damage","oak_total","oak_height","oak_damage","moose_pellets","red_deer_pellets","small_deer_pellets","reindeer_pellets","wild_boar","downy_damage_N","silver_damage_N","rowan_damage_N","aspen_damage_N","salix_damage_N","oak_damage_N","coord_type","east_orig","north_orig","coord_type_fixed","north_model","north_model_c"
"Lofsdalen",2024,"2024-06-13","1/Fg16","10","ATT","22","bb",62.10447612,13.43993574,"N",1.75,2,5,NA,0,NA,1,NA,NA,NA,NA,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wgs84_ok",13.43993574,62.10447612,"wgs84",62.10447612,-0.0353321835697713
"Lofsdalen",2024,"2024-06-13","1/Fg16","8","ATT","22","bb",62.10407471,13.43996765,"N",1.8,3,5,NA,0,NA,NA,NA,2,2,"0",1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"wgs84_ok",13.43996765,62.10407471,"wgs84",62.10407471,-0.0357335935697733
"Lofsdalen",2024,"2024-06-13","1/Fg16","9","ATT","22","bb",62.10431681,13.44002102,"N",2,3,6,NA,0,NA,NA,NA,8,3,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"wgs84_ok",13.44002102,62.10431681,"wgs84",62.10431681,-0.0354914935697721
"Lofsdalen",2024,"2024-06-13","1/Fg16","7","ATT","22","lgn",62.10392593,13.44013326,"N",0.35,6,6,NA,0,NA,NA,NA,4,3,"0",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"wgs84_ok",13.44013326,62.10392593,"wgs84",62.10392593,-0.0358823735697698
"Lofsdalen",2024,"2024-06-13","1/Fg16","6","ATT","22","bb",62.10415643,13.44159107,"N",2,1,6,NA,0,NA,NA,NA,8,1.4,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"wgs84_ok",13.44159107,62.10415643,"wgs84",62.10415643,-0.0356518735697691
"Lofsdalen",2024,"2024-06-13","1/Fg16","3","ATT","22","bb",62.10444756,13.44179592,"N",1.6,NA,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wgs84_ok",13.44179592,62.10444756,"wgs84",62.10444756,-0.0353607435697754
"Lofsdalen",2024,"2024-06-13","1/Fg16","2","ATT","22","bb",62.10461904,13.44180199,"N",1.8,1,6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wgs84_ok",13.44180199,62.10461904,"wgs84",62.10461904,-0.0351892635697695
"Lofsdalen",2024,"2024-06-13","1/Fg16","1","ATT","22","bb",62.10477581,13.44182418,"N",1.5,1,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wgs84_ok",13.44182418,62.10477581,"wgs84",62.10477581,-0.0350324935697728
"Lofsdalen",2024,"2024-06-13","1/Fg16","4","ATT","22","lgn",62.10430223,13.44183224,"N",0.9,1,2,NA,0,1,2,NA,16,4,"11_25",NA,NA,NA,1,0.3,NA,9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"wgs84_ok",13.44183224,62.10430223,"wgs84",62.10430223,-0.0355060735697705
"Lofsdalen",2024,"2024-06-13","1/Fg16","5","ATT","22","bb",62.10416065,13.44187738,"N",2.3,3,5,NA,0,NA,NA,NA,5,1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"wgs84_ok",13.44187738,62.10416065,"wgs84",62.10416065,-0.0356476535697752
"Lofsdalen",2024,"2024-06-13","ATT2","1","ATT","FG-16","gr",62.06665505,13.44381954,"N",0.7,6,7,1,14.2857142857143,NA,NA,NA,2,0.8,"0",6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"wgs84_ok",13.44381954,62.06665505,"wgs84",62.06665505,-0.073153253569771
"Lofsdalen",2024,"2024-06-13","ATT2","10","ATT","FG-16","bb",62.06730472,13.44393885,"N",0.6,8,8,NA,0,NA,NA,NA,6,1.9,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"wgs84_ok",13.44393885,62.06730472,"wgs84",62.06730472,-0.0725035835697696
"Lofsdalen",2024,"2024-06-13","ATT2","2","ATT","FG-16","bb",62.06680766,13.44409451,"N",0.5,3,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wgs84_ok",13.44409451,62.06680766,"wgs84",62.06680766,-0.0730006435697703
"Lofsdalen",2024,"2024-06-13","ATT2","9","ATT","FG-16","bb",62.06740465,13.44432342,"N",0.8,9,9,NA,0,NA,NA,NA,22,2.1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"wgs84_ok",13.44432342,62.06740465,"wgs84",62.06740465,-0.0724036535697721
"Lofsdalen",2024,"2024-06-13","ATT2","3","ATT","FG-16","gr",62.0668789,13.44452116,"N",0.55,4,4,NA,0,NA,NA,NA,NA,NA,NA,2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wgs84_ok",13.44452116,62.0668789,"wgs84",62.0668789,-0.0729294035697734
"Lofsdalen",2024,"2024-06-13","ATT2","8","ATT","FG-16","bb",62.06744095,13.44478272,"N",0.9,5,5,NA,0,NA,NA,NA,7,1.7,"0",5,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"wgs84_ok",13.44478272,62.06744095,"wgs84",62.06744095,-0.0723673535697742
"Lofsdalen",2024,"2024-06-13","ATT2","4","ATT","FG-16","gr",62.06699631,13.44489497,"N",0.8,4,4,NA,0,NA,NA,NA,3,1.4,"0",3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"wgs84_ok",13.44489497,62.06699631,"wgs84",62.06699631,-0.072811993569772
"Lofsdalen",2024,"2024-06-13","ATT2","7","ATT","FG-16","bb",62.06739688,13.44515963,"N",0.8,6,6,NA,0,NA,NA,NA,21,2,"≤10",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.44515963,62.06739688,"wgs84",62.06739688,-0.0724114235697755
"Lofsdalen",2024,"2024-06-13","ATT2","5","ATT","FG-16","bb",62.06708009,13.44527738,"N",0.8,8,8,NA,0,NA,NA,NA,9,2,"≤10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"wgs84_ok",13.44527738,62.06708009,"wgs84",62.06708009,-0.0727282135697749
"Lofsdalen",2024,"2024-06-13","ATT2","6","ATT","FG-16","bb",62.06725555,13.44548905,"N",0.8,4,5,1,20,NA,NA,NA,13,2,"0",2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"wgs84_ok",13.44548905,62.06725555,"wgs84",62.06725555,-0.0725527535697736
"Lofsdalen",2024,"2024-06-13","FG2","1","VL","FG-17","gr",62.0760606666667,13.5212208333333,"N",1,2,3,1,33.3333333333333,1,1,NA,21,1.3,"11_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"wgs84_ok",13.5212208333333,62.0760606666667,"wgs84",62.0760606666667,-0.0637476369030736
"Lofsdalen",2024,"2024-06-13","FG2","4","VL","FG-17","gr",62.0756966666667,13.5213158333333,"N",1.1,2,3,1,33.3333333333333,1,1,NA,6,1.8,"26_50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,"wgs84_ok",13.5213158333333,62.0756966666667,"wgs84",62.0756966666667,-0.0641116369030712
