"model","n_parameters","AIC","BIC","logLik","R2_marginal","R2_conditional","ICC_adjusted"
"Original plot model",14,34051.8908633446,34139.7853034178,-17011.9454316723,0.0800901473630127,0.473259389556885,0.427399751254783
"Nested plot model",15,34049.7392742039,34143.9118885681,-17009.869637102,0.0803760117928281,0.495067023017779,0.450935400275281
"Nested additive plot model",11,34170.4379841562,34239.4979013566,-17074.2189920781,0.0583023543382375,0.459573757611381,0.426114905481313
"Original regional model",20,33997.2666551235,34122.8301409424,-16978.6333275618,0.0646846164205126,0.471158033793548,0.434584338618976
"Nested regional model",21,33995.1426926754,34126.9843527852,-16976.5713463377,0.0646505960638085,0.492803915934627,0.457746931862079
"Nested additive regional model",12,34164.2549001439,34239.5929916352,-17070.127450072,0.0425600685381167,0.461320195089462,0.437374829261575
"Downy-only nested model",10,17930.2625066952,17986.8730705188,-8955.1312533476,0.0231547490606245,0.628369810174566,0.619560836818256
"Silver-only nested model",10,15897.6471530929,15952.6745352004,-7938.82357654643,0.0939509853517907,0.545252652742923,NA
"North-only nested model",13,16760.0033119194,16832.3181681268,-8367.0016559597,0.0755115005328934,0.463319502486943,0.419483857481829
"Centre-only nested model",13,7495.27970402169,7557.95410116102,-3734.63985201085,0.0346661497915512,0.761135985637156,0.752558128660604
"South-only nested model",13,9620.84265712476,9685.82328247402,-4797.42132856238,0.0897659626522737,0.372422113678991,0.310531291326279
